Bölge;m² (Brüt);Oda Sayısı;Fiyat;Mahalle
Arnavutkoy;78;1+1;2.575.000 TL;"Arnavutköy
Anadolu Mah."
Arnavutkoy;125;3+1;3.900.000 TL;"Arnavutköy
Anadolu Mah."
Arnavutkoy;85;2+1;2.290.000 TL;"Haraççı
Haraççı Mh."
Arnavutkoy;155;4+1;4.250.000 TL;"Haraççı
Haraççı Mh."
Arnavutkoy;95;2+1;3.500.000 TL;"Arnavutköy
Nenehatun Mah."
Arnavutkoy;120;3+2;2.500.000 TL;"Haraççı
Karlıbayır Mh."
Arnavutkoy;215;4+2;5.750.000 TL;"Arnavutköy
Nenehatun Mah."
Arnavutkoy;80;1+1;2.700.000 TL;"Arnavutköy
Nenehatun Mah."
Arnavutkoy;260;5+3;6.100.000 TL;"Arnavutköy
Anadolu Mah."
Arnavutkoy;100;2+1;3.300.000 TL;"Arnavutköy
Arnavutköy Merkez Mh."
Arnavutkoy;90;2+1;3.150.000 TL;"Arnavutköy
Anadolu Mah."
Arnavutkoy;230;4+2;5.450.000 TL;"Arnavutköy
Arnavutköy Merkez Mh."
Arnavutkoy;85;2+1;2.975.000 TL;"Arnavutköy
Anadolu Mah."
Arnavutkoy;90;2+1;3.150.000 TL;"Arnavutköy
Arnavutköy Merkez Mh."
Arnavutkoy;90;2+1;2.870.000 TL;"Arnavutköy
Mustafa Kemal Paşa Mh."
Arnavutkoy;120;2+1;3.190.000 TL;"Arnavutköy
Anadolu Mah."
Arnavutkoy;90;2+1;3.280.000 TL;"Boğazköy
Atatürk Mh."
Arnavutkoy;95;2+1;3.650.000 TL;"Taşoluk
Mehmet Akif Ersoy Mah."
Arnavutkoy;88;2+1;2.950.000 TL;"Arnavutköy
Anadolu Mah."
Arnavutkoy;85;2+1;1.850.000 TL;"Taşoluk
Taşoluk Mh."
Arnavutkoy;90;2+1;2.825.000 TL;"Arnavutköy
Arnavutköy Merkez Mh."
Arnavutkoy;128;2+1;9.000.000 TL;Bolluca
Arnavutkoy;105;2+1;1.875.000 TL;"Boğazköy
Atatürk Mh."
Arnavutkoy;85;2+1;2.290.000 TL;"Arnavutköy
Yunus Emre Mah."
Arnavutkoy;110;3+1;4.400.000 TL;"Arnavutköy
Hadımköy Mh."
Arnavutkoy;110;2+1;3.635.000 TL;"Arnavutköy
Arnavutköy Merkez Mh."
Arnavutkoy;100;2+1;2.650.000 TL;"Arnavutköy
İslambey Mh."
Arnavutkoy;160;4+2;6.400.000 TL;"Arnavutköy
Hadımköy Mh."
Arnavutkoy;125;3+2;4.100.000 TL;"Arnavutköy
Anadolu Mah."
Arnavutkoy;95;2+1;4.800.000 TL;"Haraççı
Karlıbayır Mh."
Arnavutkoy;180;4.5+1;3.749.000 TL;"Arnavutköy
Arnavutköy Merkez Mh."
Arnavutkoy;98;2+1;3.250.000 TL;"Arnavutköy
Arnavutköy Merkez Mh."
Arnavutkoy;;;;
Arnavutkoy;110;2+1;3.170.000 TL;"Arnavutköy
Hadımköy Mh."
Arnavutkoy;88;2+1;5.600.000 TL;Bolluca
Arnavutkoy;70;1+1;2.500.000 TL;"Bolluca
Mavigöl Mh."
Arnavutkoy;105;2+1;3.450.000 TL;"Arnavutköy
Anadolu Mah."
Arnavutkoy;90;2+1;3.250.000 TL;"Arnavutköy
Hadımköy Mh."
Arnavutkoy;190;4+3;6.250.000 TL;"Arnavutköy
Mustafa Kemal Paşa Mh."
Arnavutkoy;120;3+1;3.750.000 TL;"Arnavutköy
Anadolu Mah."
Arnavutkoy;90;2+1;3.100.000 TL;"Arnavutköy
Anadolu Mah."
Arnavutkoy;100;2+1;3.249.000 TL;"Arnavutköy
İslambey Mh."
Arnavutkoy;155;4+2;5.950.000 TL;"Bolluca
Mavigöl Mh."
Arnavutkoy;85;2+1;3.180.000 TL;"Bolluca
Hicret Mah."
Arnavutkoy;105;2+1;3.850.000 TL;"Taşoluk
Taşoluk Mh."
Arnavutkoy;100;2+1;2.850.000 TL;"Arnavutköy
Mustafa Kemal Paşa Mh."
Arnavutkoy;146;3+1;4.250.000 TL;"Arnavutköy
Anadolu Mah."
Arnavutkoy;80;2+1;2.050.000 TL;"Arnavutköy
Hadımköy Mh."
Atasehir;150;3+2;5.490.000 TL;"Ataşehir
Aşıkveysel Mh."
Atasehir;65;1+1;3.450.000 TL;"İçerenköy
İçerenköy Mh."
Atasehir;97;2+1;7.000.000 TL;Barbaros
Atasehir;150;2+2;7.600.000 TL;"Örnek
Örnek Mh."
Atasehir;47;Stüdyo (1+0);6.750.000 TL;"Ataşehir
Atatürk Mh."
Atasehir;117;3+1;12.500.000 TL;"Ataşehir
Atatürk Mh."
Atasehir;116;2+1;8.000.000 TL;"Ataşehir
Atatürk Mh."
Atasehir;174;3.5+1;28.750.000 TL;"Ataşehir
Atatürk Mh."
Atasehir;117;2+1;7.350.000 TL;"Örnek
Esatpaşa Mh."
Atasehir;125;3+1;14.950.000 TL;Barbaros
Atasehir;60;1+1;3.750.000 TL;"Ataşehir
Aşıkveysel Mh."
Atasehir;100;2+1;3.950.000 TL;"İçerenköy
İçerenköy Mh."
Atasehir;;;;
Atasehir;60;2+1;2.450.000 TL;"Örnek
Örnek Mh."
Atasehir;130;3+1;4.500.000 TL;"İçerenköy
İçerenköy Mh."
Atasehir;120;3+1;9.300.000 TL;"İçerenköy
İçerenköy Mh."
Atasehir;110;3+1;7.600.000 TL;"Örnek
Örnek Mh."
Atasehir;150;3+1;6.200.000 TL;"İçerenköy
İçerenköy Mh."
Atasehir;130;3+2;5.300.000 TL;"İçerenköy
İçerenköy Mh."
Atasehir;40;1+1;2.250.000 TL;"Kayışdağı
Kayışdağı Mh."
Atasehir;145;3+1;11.650.000 TL;"Ataşehir
Atatürk Mh."
Atasehir;135;3+1;7.750.000 TL;"Örnek
Fetih Mah."
Atasehir;70;1+1;3.900.000 TL;"Kayışdağı
İnönü Mh."
Atasehir;152;3+1;11.200.000 TL;"Ataşehir
Atatürk Mh."
Atasehir;85;2+1;7.500.000 TL;"Küçükbakkalköy
Küçükbakkalköy Mh."
Atasehir;90;2+1;5.750.000 TL;"Örnek
Esatpaşa Mh."
Atasehir;100;3+1;6.700.000 TL;"İçerenköy
İçerenköy Mh."
Atasehir;160;3+1;5.500.000 TL;"Örnek
Fetih Mah."
Atasehir;103;1+1;11.100.000 TL;"Ataşehir
Atatürk Mh."
Atasehir;198;3+1;21.500.000 TL;Barbaros
Atasehir;165;3+1;7.500.000 TL;Yeni Sahra
Atasehir;60;1+1;3.110.000 TL;"Örnek
Esatpaşa Mh."
Atasehir;218;3+1;31.000.000 TL;Barbaros
Atasehir;63;1+1;8.800.000 TL;"Ataşehir
Atatürk Mh."
Atasehir;120;3+1;3.600.000 TL;"Namık Kemal
Mustafa Kemal Mah."
Atasehir;120;3+1;8.400.000 TL;"Örnek
Esatpaşa Mh."
Atasehir;85;2+1;2.900.000 TL;"İçerenköy
İçerenköy Mh."
Atasehir;220;4+2;6.650.000 TL;"Kayışdağı
Kayışdağı Mh."
Atasehir;90;2+1;5.650.000 TL;"İçerenköy
İçerenköy Mh."
Atasehir;160;4+2;6.000.000 TL;"Örnek
Esatpaşa Mh."
Atasehir;260;4+2;6.000.000 TL;"Ferhatpaşa
Ferhatpaşa Mh."
Atasehir;320;4+1;39.500.000 TL;Barbaros
Atasehir;70;2+1;3.950.000 TL;"Örnek
Esatpaşa Mh."
Atasehir;157;3+1;3.800.000 TL;"Örnek
Esatpaşa Mh."
Atasehir;140;3+1;17.800.000 TL;"Ataşehir
Atatürk Mh."
Atasehir;110;2+1;4.800.000 TL;"Kayışdağı
İnönü Mh."
Atasehir;225;4+1;35.000.000 TL;Barbaros
Atasehir;135;3+1;5.750.000 TL;"İçerenköy
İçerenköy Mh."
Atasehir;90;2+1;4.500.000 TL;"İçerenköy
İçerenköy Mh."
Atasehir;179;3+1;22.500.000 TL;Barbaros
Atasehir;70;2+1;3.300.000 TL;"Kayışdağı
Kayışdağı Mh."
Avcilar;130;3+1;4.190.000 TL;"Avcılar
Cihangir Mah."
Avcilar;90;2+1;3.225.000 TL;"Avcılar
Merkez Mah."
Avcilar;125;3+1;3.550.000 TL;"Avcılar
Denizköşkler Mh."
Avcilar;210;5+1;4.700.000 TL;"Gümüşpala
Gümüşpala Mh."
Avcilar;85;2+1;1.649.999 TL;"Avcılar
Denizköşkler Mh."
Avcilar;150;4+2;4.640.000 TL;"Ambarlı
Ambarlı Mh."
Avcilar;100;2+1;1.589.750 TL;"Avcılar
Mustafa Kemal Paşa Mh."
Avcilar;140;3+2;4.150.000 TL;"Avcılar
Mustafa Kemal Paşa Mh."
Avcilar;115;2+1;2.199.000 TL;"Avcılar
Mustafa Kemal Paşa Mh."
Avcilar;100;2+1;3.399.999 TL;"Firuzköy
Firuzköy Mh."
Avcilar;180;4+1;4.650.000 TL;"Avcılar
Cihangir Mah."
Avcilar;190;4+1;6.950.000 TL;"Gümüşpala
Gümüşpala Mh."
Avcilar;160;3+1;6.400.000 TL;"Firuzköy
Tahtakale Mah."
Avcilar;220;5+2;6.375.000 TL;"Avcılar
Merkez Mah."
Avcilar;128;2+1;5.600.000 TL;"Firuzköy
Tahtakale Mah."
Avcilar;102;2+1;4.800.000 TL;"Avcılar
Merkez Mah."
Avcilar;95;2+1;2.370.000 TL;"Avcılar
Mustafa Kemal Paşa Mh."
Avcilar;120;3+1;3.350.000 TL;"Avcılar
Cihangir Mah."
Avcilar;129;2+1;6.250.000 TL;"Firuzköy
Tahtakale Mah."
Avcilar;140;3+1;2.200.000 TL;"Avcılar
Merkez Mah."
Avcilar;110;2+1;1.995.000 TL;"Avcılar
Cihangir Mah."
Avcilar;185;3+1;6.400.000 TL;"Firuzköy
Tahtakale Mah."
Avcilar;105;2+1;4.500.000 TL;"Firuzköy
Tahtakale Mah."
Avcilar;95;2+1;4.900.000 TL;"Avcılar
Denizköşkler Mh."
Avcilar;133;3+1;6.000.000 TL;"Firuzköy
Tahtakale Mah."
Avcilar;100;2+1;1.945.000 TL;"Avcılar
Cihangir Mah."
Avcilar;203;4+1;8.700.000 TL;"Firuzköy
Tahtakale Mah."
Avcilar;207;4+1;17.500.000 TL;"Ambarlı
Ambarlı Mh."
Avcilar;90;2+1;3.800.000 TL;"Gümüşpala
Gümüşpala Mh."
Avcilar;72;1+1;3.900.000 TL;"Firuzköy
Tahtakale Mah."
Avcilar;128;2+1;5.700.000 TL;"Firuzköy
Tahtakale Mah."
Avcilar;90;2+1;3.175.000 TL;"Gümüşpala
Üniversite Mh."
Avcilar;145;3+1;7.500.000 TL;"Firuzköy
Tahtakale Mah."
Avcilar;75;2+1;1.735.000 TL;"Avcılar
Mustafa Kemal Paşa Mh."
Avcilar;100;2+1;2.400.000 TL;"Avcılar
Cihangir Mah."
Avcilar;80;2+1;1.700.000 TL;"Avcılar
Merkez Mah."
Avcilar;90;2+1;1.600.000 TL;"Avcılar
Denizköşkler Mh."
Avcilar;170;3+1;1.995.000 TL;"Avcılar
Denizköşkler Mh."
Avcilar;125;3+1;4.750.000 TL;"Avcılar
Cihangir Mah."
Avcilar;210;4+1;10.500.000 TL;"Firuzköy
Tahtakale Mah."
Avcilar;184;4+1;8.350.000 TL;"Yeşilkent
Yeşilkent Mh."
Avcilar;116;2+1;7.000.000 TL;"Ambarlı
Ambarlı Mh."
Avcilar;135;2+1;5.200.000 TL;"Firuzköy
Tahtakale Mah."
Avcilar;150;3+1;1.625.000 TL;"Avcılar
Merkez Mah."
Avcilar;136;3+2;5.350.000 TL;"Avcılar
Mustafa Kemal Paşa Mh."
Avcilar;85;2+1;3.090.000 TL;"Avcılar
Cihangir Mah."
Avcilar;160;3+1;12.000.000 TL;"Ambarlı
Ambarlı Mh."
Avcilar;80;2+1;2.600.000 TL;"Avcılar
Cihangir Mah."
Avcilar;110;2+1;2.050.000 TL;"Avcılar
Mustafa Kemal Paşa Mh."
Avcilar;115;3+1;2.450.000 TL;"Avcılar
Cihangir Mah."
Bagcilar;100;2+1;2.800.000 TL;"Bağcılar
100. Yıl Mh."
Bagcilar;107;3+1;2.750.000 TL;"Bağcılar
100. Yıl Mh."
Bagcilar;110;3+1;6.300.000 TL;Mahmutbey
Bagcilar;80;1+1;4.150.000 TL;Mahmutbey
Bagcilar;100;2+1;5.000.000 TL;"Güneşli
Güneşli Mh."
Bagcilar;200;5+2;7.500.000 TL;"Bağcılar
Göztepe Mh."
Bagcilar;100;2+1;4.850.000 TL;"Bağcılar
Göztepe Mh."
Bagcilar;145;3+1;2.290.000 TL;"Barbaros/Yeşilbağ
Kazım Karabekir Mh."
Bagcilar;120;3+1;5.100.000 TL;"Güneşli
15 Temmuz Mh."
Bagcilar;100;2+1;4.350.000 TL;Mahmutbey
Bagcilar;120;3+1;1.310.000 TL;"Bağcılar
Fevzi Çakmak Mh."
Bagcilar;150;3+1;6.250.000 TL;"Güneşli
15 Temmuz Mh."
Bagcilar;165;3+2;6.499.999 TL;"Güneşli
15 Temmuz Mh."
Bagcilar;110;2+1;2.400.000 TL;"Barbaros/Yeşilbağ
Yavuz Selim Mah."
Bagcilar;145;2+1;4.075.000 TL;Mahmutbey
Bagcilar;136;3+1;7.700.000 TL;"Kirazlı
Kirazlı Mh."
Bagcilar;116;1+1;4.990.000 TL;"Bağcılar
Merkez Mah."
Bagcilar;105;2+1;4.300.000 TL;"Barbaros/Yeşilbağ
Yıldıztepe Mh."
Bagcilar;158;3+1;8.500.000 TL;"Hürriyet
Bağlar Mh."
Bagcilar;55;1+1;2.285.000 TL;"Barbaros/Yeşilbağ
İnönü Mh."
Bagcilar;102;2+1;7.700.000 TL;"Güneşli
15 Temmuz Mh."
Bagcilar;90;2+1;3.650.000 TL;"Barbaros/Yeşilbağ
İnönü Mh."
Bagcilar;148;3+1;8.250.000 TL;"Kirazlı
Yenimahalle Mah."
Bagcilar;96;2+1;8.125.000 TL;"Güneşli
15 Temmuz Mh."
Bagcilar;175;3+1;10.900.000 TL;Mahmutbey
Bagcilar;130;3+1;5.800.000 TL;"Hürriyet
Hürriyet Mh."
Bagcilar;85;2+1;2.750.000 TL;"Hürriyet
Bağlar Mh."
Bagcilar;85;2+1;1.149.000 TL;"Barbaros/Yeşilbağ
Yıldıztepe Mh."
Bagcilar;110;2+1;5.550.000 TL;"Bağcılar
Sancaktepe Mah."
Bagcilar;90;2+1;4.550.000 TL;"Kirazlı
Kirazlı Mh."
Bagcilar;114;2+1;5.900.000 TL;Mahmutbey
Bagcilar;170;3+2;7.750.000 TL;"Bağcılar
Çınar Mh."
Bagcilar;85;1+1;5.850.000 TL;"Hürriyet
Bağlar Mh."
Bagcilar;125;3+1;5.450.000 TL;"Kemalpaşa
Kemalpaşa Mh."
Bagcilar;100;2+1;6.000.000 TL;Mahmutbey
Bagcilar;180;4+1;5.980.000 TL;"Bağcılar
Sancaktepe Mah."
Bagcilar;58;1+1;5.200.000 TL;"Hürriyet
Bağlar Mh."
Bagcilar;70;1+1;3.350.000 TL;Mahmutbey
Bagcilar;95;2+1;6.250.000 TL;"Güneşli
Güneşli Mh."
Bagcilar;;;;
Bagcilar;210;3+2;7.500.000 TL;"Güneşli
15 Temmuz Mh."
Bagcilar;110;3+1;2.700.000 TL;"Bağcılar
Sancaktepe Mah."
Bagcilar;110;3+1;5.850.000 TL;"Kirazlı
Yenimahalle Mah."
Bagcilar;120;3+1;6.000.000 TL;"Kirazlı
Kirazlı Mh."
Bagcilar;110;2+1;5.300.000 TL;"Kirazlı
Yenimahalle Mah."
Bagcilar;115;2+1;2.200.000 TL;"Kemalpaşa
Fatih Mah."
Bagcilar;72;2+1;2.600.000 TL;"Bağcılar
100. Yıl Mh."
Bagcilar;80;2+1;1.650.000 TL;"Güneşli
15 Temmuz Mh."
Bagcilar;115;2+1;7.550.000 TL;Mahmutbey
Bagcilar;125;3+1;4.800.000 TL;"Demirkapı
Demirkapı Mh."
Bagcilar;80;2+1;1.600.000 TL;"Güneşli
15 Temmuz Mh."
Bahcelievler;168;3+1;11.900.000 TL;"Yenibosna
Yenibosna Merkez Mah."
Bahcelievler;96;2+1;4.950.000 TL;"Kocasinan
Kocasinan Merkez Mah."
Bahcelievler;160;4+1;5.250.000 TL;Cumhuriyet
Bahcelievler;85;2+1;3.250.000 TL;Cumhuriyet
Bahcelievler;80;2+1;1.900.000 TL;Zafer
Bahcelievler;120;2+1;5.950.000 TL;"Siyavuşpaşa
Siyavuşpaşa Mh."
Bahcelievler;90;2+1;8.200.000 TL;"Merkez
Bahçelievler Mh."
Bahcelievler;140;4+1;3.580.000 TL;"Kocasinan
Kocasinan Merkez Mah."
Bahcelievler;120;3+1;5.500.000 TL;"Şirinevler
Şirinevler Mh."
Bahcelievler;70;2+1;3.550.000 TL;Zafer
Bahcelievler;130;3+1;7.000.000 TL;"Şirinevler
Şirinevler Mh."
Bahcelievler;110;3+1;3.150.000 TL;"Siyavuşpaşa
Siyavuşpaşa Mh."
Bahcelievler;95;2+1;4.950.000 TL;"Şirinevler
Şirinevler Mh."
Bahcelievler;95;2+1;1.735.000 TL;"Fevzi Çakmak
Fevzi Çakmak Mh."
Bahcelievler;124;3+1;5.650.000 TL;"Siyavuşpaşa
Siyavuşpaşa Mh."
Bahcelievler;370;6+2;31.750.000 TL;"Merkez
Bahçelievler Mh."
Bahcelievler;105;3+1;7.250.000 TL;"Şirinevler
Şirinevler Mh."
Bahcelievler;120;3+1;7.250.000 TL;"Kocasinan
Kocasinan Merkez Mah."
Bahcelievler;190;5+1;7.350.000 TL;"Siyavuşpaşa
Siyavuşpaşa Mh."
Bahcelievler;130;3+1;2.250.000 TL;Zafer
Bahcelievler;95;2+1;4.950.000 TL;"Şirinevler
Şirinevler Mh."
Bahcelievler;85;2+1;2.550.000 TL;"Fevzi Çakmak
Fevzi Çakmak Mh."
Bahcelievler;85;2+1;3.650.000 TL;Zafer
Bahcelievler;75;2+1;1.360.000 TL;Zafer
Bahcelievler;80;2+1;3.500.000 TL;"Hürriyet
Hürriyet Mh."
Bahcelievler;85;2+1;3.000.000 TL;"Hürriyet
Hürriyet Mh."
Bahcelievler;85;2+1;2.550.000 TL;"Fevzi Çakmak
Fevzi Çakmak Mh."
Bahcelievler;140;5+1;5.500.000 TL;"Şirinevler
Şirinevler Mh."
Bahcelievler;80;2+1;3.600.000 TL;"Kocasinan
Kocasinan Merkez Mah."
Bahcelievler;85;2+1;3.300.000 TL;Zafer
Bahcelievler;65;2+1;2.600.000 TL;"Çobançeşme
Çobançeşme Mh."
Bahcelievler;70;2+1;2.600.000 TL;"Çobançeşme
Çobançeşme Mh."
Bahcelievler;132;3+1;5.500.000 TL;"Şirinevler
Şirinevler Mh."
Bahcelievler;85;2+1;3.650.000 TL;Zafer
Bahcelievler;90;2+1;2.350.000 TL;Cumhuriyet
Bahcelievler;75;2+1;3.350.000 TL;"Yenibosna
Yenibosna Merkez Mah."
Bahcelievler;140;4+1;4.450.000 TL;"Hürriyet
Hürriyet Mh."
Bahcelievler;96;2+1;4.950.000 TL;"Kocasinan
Kocasinan Merkez Mah."
Bahcelievler;100;2+1;3.225.000 TL;"Hürriyet
Hürriyet Mh."
Bahcelievler;125;3+1;4.750.000 TL;"Siyavuşpaşa
Siyavuşpaşa Mh."
Bahcelievler;65;1+1;2.325.000 TL;"Kocasinan
Kocasinan Merkez Mah."
Bahcelievler;85;2+1;2.190.000 TL;"Çobançeşme
Çobançeşme Mh."
Bahcelievler;95;2+1;5.000.000 TL;"Şirinevler
Şirinevler Mh."
Bahcelievler;80;2+1;1.870.000 TL;Zafer
Bahcelievler;90;2+1;5.250.000 TL;"Kocasinan
Kocasinan Merkez Mah."
Bahcelievler;70;2+1;1.220.000 TL;Zafer
Bahcelievler;85;2+1;1.780.000 TL;Zafer
Bahcelievler;100;2+1;3.600.000 TL;"Hürriyet
Hürriyet Mh."
Bahcelievler;125;3+1;3.700.000 TL;"Şirinevler
Şirinevler Mh."
Bahcelievler;75;2+1;3.200.000 TL;"Hürriyet
Hürriyet Mh."
Bakirkoy;550;5+2;34.500.000 TL;"Florya
Şenlikköy Mh."
Bakirkoy;210;4+1;44.000.000 TL;"Florya
Şenlikköy Mh."
Bakirkoy;70;1+1;4.000.000 TL;Zuhuratbaba
Bakirkoy;178;2+1;12.450.000 TL;Zuhuratbaba
Bakirkoy;719;5+2;159.800.000 TL;"Cevizlik
Sakızağacı Mh."
Bakirkoy;340;4+1;34.950.000 TL;"Florya
Şenlikköy Mh."
Bakirkoy;125;2+1;13.000.000 TL;"Ataköy
Ataköy 7-8-9-10. Kısım Mh."
Bakirkoy;100;2.5+1;4.600.000 TL;"Cevizlik
Sakızağacı Mh."
Bakirkoy;90;2+1;5.450.000 TL;Zeytinlik
Bakirkoy;220;4+1;17.000.000 TL;"Florya
Şenlikköy Mh."
Bakirkoy;70;1+1;2.290.000 TL;"Cevizlik
Sakızağacı Mh."
Bakirkoy;160;3+1;9.750.000 TL;"Florya
Şenlikköy Mh."
Bakirkoy;120;3+1;8.650.000 TL;"Ataköy
Ataköy 7-8-9-10. Kısım Mh."
Bakirkoy;130;3+1;22.950.000 TL;"Florya
Şenlikköy Mh."
Bakirkoy;110;2+1;9.350.000 TL;"Ataköy
Ataköy 7-8-9-10. Kısım Mh."
Bakirkoy;220;5+2;15.000.000 TL;"Yeşilköy
Yeşilköy Mh."
Bakirkoy;200;4+1;17.750.000 TL;"Yeşilköy
Yeşilköy Mh."
Bakirkoy;110;2+1;3.950.000 TL;"Cevizlik
Yenimahalle Mah."
Bakirkoy;240;4+1;11.250.000 TL;Kartaltepe
Bakirkoy;219;4+1;19.000.000 TL;"Ataköy
Ataköy 7-8-9-10. Kısım Mh."
Bakirkoy;140;3+1;10.000.000 TL;"Ataköy
Ataköy 3-4-11. Kısım Mh."
Bakirkoy;100;2+1;8.450.000 TL;"Ataköy
Ataköy 7-8-9-10. Kısım Mh."
Bakirkoy;160;3+1;11.900.000 TL;"Florya
Şenlikköy Mh."
Bakirkoy;213;4+1;11.150.000 TL;Kartaltepe
Bakirkoy;100;3+1;7.100.000 TL;Zeytinlik
Bakirkoy;120;3+1;4.250.000 TL;"Cevizlik
Yenimahalle Mah."
Bakirkoy;80;2+1;2.700.000 TL;Cevizlik
Bakirkoy;130;3+1;20.500.000 TL;"Yeşilköy
Yeşilyurt Mh."
Bakirkoy;111;2+1;9.000.000 TL;"Kartaltepe
Osmaniye Mah."
Bakirkoy;120;3+1;6.000.000 TL;Zuhuratbaba
Bakirkoy;240;4+1;35.000.000 TL;"Florya
Basınköy Mh."
Bakirkoy;450;7+2;23.000.000 TL;"Florya
Şenlikköy Mh."
Bakirkoy;90;2+1;6.500.000 TL;Kartaltepe
Bakirkoy;360;4+1;27.500.000 TL;"Florya
Şenlikköy Mh."
Bakirkoy;130;3+1;9.250.000 TL;Kartaltepe
Bakirkoy;330;4+2;20.500.000 TL;"Florya
Şenlikköy Mh."
Bakirkoy;200;4.5+1;34.500.000 TL;"Yeşilköy
Yeşilyurt Mh."
Bakirkoy;135;3+1;9.250.000 TL;"Kartaltepe
Osmaniye Mah."
Bakirkoy;190;4+2;17.250.000 TL;Kartaltepe
Bakirkoy;400;5+2;23.000.000 TL;"Yeşilköy
Yeşilköy Mh."
Bakirkoy;170;4+1;37.000.000 TL;"Yeşilköy
Yeşilyurt Mh."
Bakirkoy;350;4+1;33.000.000 TL;"Florya
Şenlikköy Mh."
Bakirkoy;125;3+1;17.000.000 TL;"Yeşilköy
Yeşilköy Mh."
Bakirkoy;180;2.5+1;15.500.000 TL;Zuhuratbaba
Bakirkoy;80;2+1;3.350.000 TL;Kartaltepe
Bakirkoy;177;3+1;21.750.000 TL;Kartaltepe
Bakirkoy;100;2+1;3.800.000 TL;Kartaltepe
Bakirkoy;170;3+1;21.000.000 TL;"Florya
Şenlikköy Mh."
Bakirkoy;330;5+1;26.000.000 TL;"Florya
Basınköy Mh."
